渠道,新增_W1,次留_W1,3留_W1,4留_W1,5留_W1,6留_W1,7留_W1,新增_W2,次留_W2,3留_W2,4留_W2,5留_W2,6留_W2,7留_W2,新增变化%,次留变化,7留变化,总新增
4399-Web(220001),13030,0.191,0.14815714285714285,0.12481428571428572,0.11377142857142857,0.1033142857142857,0.09735714285714285,11508,0.18388333333333332,0.13901999999999998,0.119625,0.09816666666666667,0.0861,0.095,-11.7,-0.71,-0.24,24538
Wegame-PC(120110),12220,0.1633,0.12141428571428571,0.1008,0.09031428571428571,0.08897142857142858,0.0805,10552,0.17601666666666668,0.14044,0.12382499999999999,0.11466666666666668,0.09815,0.0957,-13.6,1.27,1.52,22772
游卡-安卓(310003),9783,0.29951428571428573,0.22804285714285716,0.20188571428571428,0.18217142857142857,0.16624285714285714,0.15492857142857144,7633,0.29350000000000004,0.23837999999999998,0.205225,0.18183333333333332,0.14789999999999998,0.1553,-22.0,-0.6,0.04,17416
游卡-iOS(410004),6185,0.2965714285714286,0.23120000000000002,0.2001,0.17547142857142856,0.16487142857142856,0.15077142857142858,5417,0.29633333333333334,0.2303,0.201975,0.169,0.16415,0.1271,-12.4,-0.02,-2.37,11602
Steam-PC(120113),5254,0.18222857142857143,0.12514285714285714,0.11127142857142856,0.10250000000000001,0.09092857142857143,0.0824,4832,0.18863333333333332,0.13635999999999998,0.1161,0.09866666666666667,0.09685,0.0879,-8.0,0.64,0.55,10086
游卡-Web(210002),4481,0.19332857142857143,0.14895714285714284,0.13224285714285713,0.12301428571428571,0.11141428571428572,0.1105,4256,0.18371666666666667,0.14496,0.12415000000000001,0.10913333333333335,0.09259999999999999,0.1004,-5.0,-0.96,-1.01,8737
VIVO-安卓(320015),4185,0.34167142857142857,0.2653142857142857,0.227,0.20724285714285715,0.18277142857142856,0.1732,3628,0.3538333333333334,0.2785,0.240975,0.21636666666666668,0.18025000000000002,0.2051,-13.3,1.22,3.19,7813
TapTap-安卓(官方)(310004),3467,0.29415714285714284,0.2132285714285714,0.18732857142857146,0.17117142857142856,0.15604285714285715,0.1434,2802,0.2989,0.23415999999999998,0.193075,0.17546666666666666,0.12764999999999999,0.1705,-19.2,0.47,2.71,6269
小米-安卓(320011),2963,0.31958571428571425,0.23681428571428573,0.2166,0.18112857142857144,0.1695,0.16492857142857145,2741,0.32585000000000003,0.27962,0.2311,0.1905,0.19290000000000002,0.171,-7.5,0.63,0.61,5704
4399-安卓(320031),3148,0.32751428571428576,0.26067142857142855,0.2244,0.18814285714285714,0.17260000000000003,0.16574285714285714,2431,0.33108333333333334,0.27388,0.2381,0.21960000000000002,0.20455,0.1976,-22.8,0.36,3.19,5579
QQ大厅-PC(120123),2707,0.18091428571428572,0.1285285714285714,0.10382857142857142,0.09024285714285715,0.08667142857142858,0.07071428571428572,2668,0.19133333333333333,0.14102,0.11765,0.1037,0.08854999999999999,0.0879,-1.4,1.04,1.72,5375
OPPO-安卓(320014),2863,0.33301428571428576,0.24332857142857142,0.21300000000000002,0.17809999999999998,0.1593142857142857,0.1545857142857143,2356,0.33569999999999994,0.2787,0.229125,0.20176666666666665,0.16615000000000002,0.1635,-17.7,0.27,0.89,5219
华为-安卓(320007),1529,0.33537142857142854,0.25989999999999996,0.2158857142857143,0.1920714285714286,0.16581428571428572,0.15251428571428574,1329,0.35915,0.27088,0.24695,0.20023333333333335,0.16915000000000002,0.1809,-13.1,2.38,2.84,2858
Wegame-安卓(320107),1459,0.3516285714285714,0.2723857142857143,0.2557857142857143,0.2414,0.23357142857142857,0.2208857142857143,1184,0.35515,0.2946,0.25755,0.25630000000000003,0.24265,0.2143,-18.8,0.35,-0.66,2643
游卡-鸿蒙(710001),1113,0.23658571428571432,0.18335714285714286,0.16319999999999998,0.15164285714285713,0.13024285714285713,0.1331857142857143,927,0.24321666666666666,0.19434,0.162025,0.14526666666666668,0.1149,0.1327,-16.7,0.66,-0.05,2040
飞火游戏-PC(120115),871,0.0856,0.06344285714285715,0.06394285714285715,0.0553,0.050371428571428574,0.048985714285714285,810,0.06325,0.060880000000000004,0.04505,0.0547,0.025,0.0187,-7.0,-2.23,-3.03,1681
游卡-PC(110001),926,0.2527857142857143,0.20872857142857143,0.17641428571428572,0.1576857142857143,0.13304285714285716,0.13738571428571428,751,0.2812,0.24134000000000003,0.19025,0.1597333333333333,0.1442,0.0805,-18.9,2.84,-5.69,1677
荣耀-安卓(320173),822,0.3106857142857143,0.2225857142857143,0.20054285714285713,0.16627142857142857,0.1490857142857143,0.13494285714285714,758,0.32811666666666667,0.24274,0.2268,0.1858,0.2059,0.1563,-7.8,1.74,2.14,1580
Wegame-iOS(420108),661,0.31752857142857144,0.24712857142857142,0.2098857142857143,0.2377857142857143,0.19854285714285713,0.2137,545,0.3402,0.24838,0.232675,0.19926666666666668,0.2094,0.1948,-17.5,2.27,-1.89,1206
抖音-安卓(官方)(310023),523,0.3261142857142857,0.24342857142857147,0.22160000000000002,0.19711428571428571,0.19042857142857142,0.17081428571428572,418,0.34778333333333333,0.25270000000000004,0.1874,0.18453333333333333,0.17925,0.1739,-20.1,2.17,0.31,941
好游快爆-安卓(官方)(310005),524,0.2719,0.19715714285714286,0.17352857142857145,0.1572,0.15587142857142858,0.13902857142857145,400,0.2454166666666667,0.19140000000000001,0.20505,0.1558,0.22715,0.119,-23.7,-2.65,-2.0,924
4399-PC(120118),433,0.29265714285714284,0.21347142857142856,0.21224285714285715,0.1778142857142857,0.1769285714285714,0.1586857142857143,298,0.2725,0.2274,0.21190000000000003,0.2536333333333333,0.13375,0.1053,-31.2,-2.02,-5.34,731
B站-安卓(320120),320,0.36772857142857146,0.2865142857142858,0.2411857142857143,0.23972857142857143,0.21591428571428573,0.23595714285714284,240,0.41819999999999996,0.35546,0.2934,0.2925,0.2672,0.2258,-25.0,5.05,-1.02,560
应用宝-安卓(320017),251,0.24372857142857143,0.20864285714285716,0.21518571428571429,0.18805714285714287,0.1363,0.18758571428571427,213,0.34203333333333336,0.24694000000000002,0.181775,0.22783333333333333,0.1676,0.3077,-15.1,9.83,12.01,464
联想-PC(120119),247,0.28332857142857143,0.2315,0.19045714285714285,0.20305714285714285,0.15935714285714284,0.16955714285714288,198,0.29195,0.22376000000000001,0.20147500000000002,0.1962,0.22145,0.1818,-19.8,0.86,1.22,445
2144-Web(220016),141,0.22049999999999997,0.18665714285714285,0.18495714285714285,0.16405714285714287,0.11467142857142856,0.08732857142857142,153,0.19840000000000002,0.19514,0.090725,0.18423333333333333,0.15089999999999998,0.0909,8.5,-2.21,0.36,294
7k7k-H5(520122),159,0.24978571428571428,0.15985714285714286,0.17629999999999998,0.15332857142857145,0.13835714285714285,0.11112857142857144,134,0.33780000000000004,0.22999999999999998,0.220225,0.20373333333333332,0.1111,0.1667,-15.7,8.8,5.56,293
微信-H5(520214),100,0.12904285714285715,0.059257142857142855,0.04822857142857143,0.05212857142857143,0.03895714285714286,0.047299999999999995,168,0.14498333333333333,0.04818,0.10755,0.03333333333333333,0.01925,0.0385,68.0,1.59,-0.88,268
易乐玩-PC(120130),133,0.06941428571428572,0.030014285714285716,0.008928571428571428,0.014285714285714287,0.023799999999999998,0.004757142857142857,118,0.13671666666666668,0.07918,0.097025,0.06746666666666666,0.03845,0.0,-11.3,6.73,-0.48,251
飞火游戏-Web(220005),124,0.11355714285714287,0.11468571428571428,0.12468571428571429,0.10355714285714286,0.06884285714285714,0.0429,67,0.12238333333333333,0.14208,0.07045,0.030299999999999997,0.0,0.0,-46.0,0.88,-4.29,191
360-Web(220015),90,0.2547142857142857,0.28124285714285713,0.2616142857142857,0.2670285714285714,0.17264285714285713,0.09034285714285714,84,0.37705000000000005,0.19568,0.1571,0.10973333333333334,0.225,0.3333,-6.7,12.23,24.3,174
快手-安卓(320203),81,0.33685714285714285,0.28468571428571426,0.28630000000000005,0.21325714285714284,0.2063142857142857,0.16822857142857142,90,0.4735666666666667,0.36079999999999995,0.37065,0.25,0.23215,0.2143,11.1,13.67,4.61,171
360-PC(120122),53,0.23089999999999997,0.1344857142857143,0.1118,0.12942857142857142,0.16077142857142857,0.0987,40,0.12798333333333334,0.16665999999999997,0.0,0.19443333333333332,0.0625,0.125,-24.5,-10.29,2.63,93
飞火游戏-安卓(320092),36,0.0,0.0,0.0,0.0,0.0,0.0,44,0.0,0.0,0.016675,0.02223333333333333,0.15835,0.0667,22.2,0.0,6.67,80
B站-PC(120174),35,0.2810714285714286,0.4265285714285714,0.19184285714285715,0.3116857142857143,0.09999999999999999,0.14444285714285712,30,0.48373333333333335,0.34046,0.26487499999999997,0.27776666666666666,0.16665,0.3333,-14.3,20.27,18.89,65
百度-Web(220013),31,0.19048571428571429,0.11308571428571428,0.09522857142857143,0.07142857142857142,0.02381428571428571,0.08928571428571429,34,0.19999999999999998,0.19,0.125,0.08333333333333333,0.0,0.0,9.7,0.95,-8.93,65
