将灯名,武将名,武将原来帅点,将灯原来的帅点,武将新的帅点,将灯新的帅点,系统需要补充的帅点
一将成名2022,李婉,120,650,150,620,-92.5
一将成名2022,武安国,120,650,150,620,-92.5
一将成名2022,苏飞,120,650,150,620,-92.5
一将成名2022,诸葛尚,500,650,150,1000,-92.5
一将成名2022,谯周,120,650,150,620,-92.5
一将成名2022,轲比能,120,650,150,620,-92.5
一将成名2022,陆凯,120,650,150,620,-92.5
一将成名2022,韩龙,120,650,200,570,-92.5
一将成名2023,令狐愚,120,550,150,520,-11.67
一将成名2023,传械马钧,120,550,150,520,-11.67
一将成名2023,司马孚,120,550,150,520,-11.67
一将成名2023,夏侯楙,120,550,150,520,-11.67
一将成名2023,奇巧马钧,120,550,150,520,-11.67
一将成名2023,孙礼,120,550,150,520,-11.67
一将成名2023,宣公主,120,550,200,470,-11.67
一将成名2023,徐琨,120,550,150,520,-11.67
一将成名2023,裴秀,120,550,150,520,-11.67
一将成名2023,费曜,120,550,150,520,-11.67
一将成名2023,陈式,120,550,150,520,-11.67
一将成名2023,马钧,120,550,150,520,-11.67
一将成名2025,伍孚,120,350,150,320,-53.33
一将成名2025,张奂,120,350,200,270,-53.33
一将成名2025,张燕,120,350,200,270,-53.33
七杀,公孙瓒,80,20,100,0,-5.0
七杀,关银屏,120,20,100,40,-5.0
七杀,吕虔,120,20,100,40,-5.0
七杀,张梁,80,20,100,0,-5.0
七杀,徐氏,120,20,100,40,-5.0
七杀,祖茂,100,20,100,20,-5.0
七杀,蹋顿,100,20,100,20,-5.0
七杀,马云騄,100,20,100,20,-5.0
上兵伐谋,伊籍,120,100,150,70,10.0
上兵伐谋,张温,120,100,150,70,10.0
上兵伐谋,李肃,120,100,150,70,10.0
上兵伐谋,辛毗,100,100,150,50,10.0
中原狼烟,曹安民,120,100,150,70,-97.5
中原狼烟,胡车儿,120,100,150,70,-97.5
中原狼烟,董承,500,100,150,450,-97.5
中原狼烟,邹氏,100,100,100,100,-97.5
主,刘备,100,20,100,20,-6.67
主,孙权,100,20,100,20,-6.67
主,曹操,100,20,100,20,-6.67
乱武,唐姬,120,450,150,420,-84.55
乱武,张横,120,450,200,370,-84.55
乱武,张济,120,450,100,470,-84.55
乱武,李傕,120,450,150,420,-84.55
乱武,李傕郭汜,120,450,100,470,-84.55
乱武,梁兴,120,450,150,420,-84.55
乱武,樊稠,120,450,150,420,-84.55
乱武,段煨,120,450,150,420,-84.55
乱武,牛辅,500,450,150,800,-84.55
乱武,董翓,500,450,200,750,-84.55
乱武,郭汜,120,450,100,470,-84.55
代汉涂高,乐就,120,550,150,520,-23.75
代汉涂高,张勋,120,550,150,520,-23.75
代汉涂高,桥蕤,120,550,200,470,-23.75
代汉涂高,纪灵,100,550,100,550,-23.75
代汉涂高,董绾,120,550,200,470,-23.75
代汉涂高,袁胤,120,550,200,470,-23.75
代汉涂高,雷薄,120,550,150,520,-23.75
代汉涂高,马日磾,120,550,150,520,-23.75
伯言绽火,谋徐盛,120,250,200,170,-77.5
伯言绽火,谋朱然,500,250,200,550,-77.5
伯言绽火,谋骆统,120,250,200,170,-77.5
伯言绽火,谋黄权,120,250,200,170,-77.5
兵临城下,孙桓,120,350,150,320,10.0
兵临城下,孙狼,120,350,200,270,10.0
兵临城下,孟达,120,350,200,270,10.0
兵临城下,是仪,120,350,150,320,10.0
兵临城下,李异谢旌,120,350,150,320,10.0
兵临城下,李采薇,120,350,150,320,10.0
兵临城下,牛金,120,350,150,320,10.0
兵临城下,王威,120,350,150,320,10.0
兵临城下,糜芳傅士仁,120,350,150,320,10.0
兵临城下,赵俨,120,350,200,270,10.0
冢虎狼顾,谋司马师,500,450,200,750,-127.5
冢虎狼顾,谋曹爽,120,450,200,370,-127.5
冢虎狼顾,谋王凌,120,450,200,370,-127.5
冢虎狼顾,谋蒋济,120,450,200,370,-127.5
凤雏溯攻,谋刘璋,120,350,200,270,-102.5
凤雏溯攻,谋吴懿,500,350,200,650,-102.5
凤雏溯攻,谋张任,120,350,200,270,-102.5
凤雏溯攻,谋法正,120,350,200,270,-102.5
匡鼎炎汉,傅肜傅佥,120,1150,150,1120,-126.92
匡鼎炎汉,刘巴,120,1150,150,1120,-126.92
匡鼎炎汉,向宠,120,1150,200,1070,-126.92
匡鼎炎汉,向朗,120,1150,200,1070,-126.92
匡鼎炎汉,吴班,120,1150,150,1120,-126.92
匡鼎炎汉,张翼,120,1150,200,1070,-126.92
匡鼎炎汉,李丰,120,1150,200,1070,-126.92
匡鼎炎汉,杨仪,500,1150,150,1500,-126.92
匡鼎炎汉,蒋琬费祎,120,1150,100,1170,-126.92
匡鼎炎汉,诸葛均,500,1150,200,1450,-126.92
匡鼎炎汉,霍峻,120,1150,200,1070,-126.92
匡鼎炎汉,高翔,120,1150,150,1120,-126.92
匡鼎炎汉,黄权,500,1150,150,1500,-126.92
千里单骑,SP关羽,120,300,200,220,-10.0
千里单骑,关宁,500,300,500,300,-10.0
千里单骑,卞喜,120,300,150,270,-10.0
千里单骑,杜夫人,120,300,150,270,-10.0
千里单骑,秦宜禄,120,300,150,270,-10.0
千里单骑,胡班,120,300,150,270,-10.0
千里单骑,胡金定,120,300,150,270,-10.0
君威盖世,威刘备,500,1450,800,1150,10.0
君威盖世,威孙权,500,1450,800,1150,10.0
君威盖世,威孙策,500,1450,800,1150,10.0
君威盖世,威曹丕,500,1450,800,1150,10.0
君威盖世,威曹操,500,1450,800,1150,10.0
周郎将计,谋程昱,120,150,200,70,-52.5
周郎将计,谋程普,120,150,200,70,-52.5
周郎将计,谋蒋干,120,150,200,70,-52.5
周郎将计,谋黄盖,500,150,200,450,-52.5
天下归心,SP贾诩,500,1150,150,1500,-114.71
天下归心,乐进,100,1150,100,1150,-114.71
天下归心,侯成,120,1150,200,1070,-114.71
天下归心,吕旷吕翔,120,1150,150,1120,-114.71
天下归心,唐咨,120,1150,200,1070,-114.71
天下归心,尹夫人,120,1150,150,1120,-114.71
天下归心,曹洪,100,1150,100,1150,-114.71
天下归心,秦朗,500,1150,200,1450,-114.71
天下归心,臧霸,100,1150,100,1150,-114.71
天下归心,董昭,120,1150,200,1070,-114.71
天下归心,蔡瑁张允,120,1150,150,1120,-114.71
天下归心,阚泽,120,1150,150,1120,-114.71
天下归心,陈珪,120,1150,150,1120,-114.71
天下归心,陈登,500,1150,150,1500,-114.71
天下归心,陈矫,120,1150,200,1070,-114.71
天下归心,马邈,120,1150,200,1070,-114.71
天下归心,高览,500,1150,150,1500,-114.71
天同,SP太史慈,80,20,100,0,-2.5
天同,SP姜维,100,20,100,20,-2.5
天同,SP孙尚香,120,20,100,40,-2.5
天同,SP庞德,80,20,100,0,-2.5
天同,SP庞统,100,20,100,20,-2.5
