渠道,注册_W1,注册_W2,次留_W1,次留_W2,次留降幅,次留降幅率,影响度
游卡-安卓(310003),14057,9783,37.04,30.44,6.6,17.8,645.7
4399-Web(220001),14861,13030,23.54,19.23,4.31,18.3,561.6
Wegame-PC(120110),13692,12220,20.29,16.79,3.5,17.2,427.7
游卡-Web(210002),6031,4481,27.66,19.83,7.83,28.3,350.9
TapTap-安卓(官方)(310004),5487,3467,37.89,29.72,8.17,21.6,283.3
游卡-iOS(410004),7885,6185,34.33,30.09,4.24,12.4,262.2
4399-安卓(320031),5032,3148,40.61,34.04,6.57,16.2,206.8
VIVO-安卓(320015),5523,4185,38.74,33.88,4.86,12.5,203.4
Steam-PC(120113),6197,5254,21.94,18.95,2.99,13.6,157.1
Wegame-安卓(320107),2432,1459,45.2,35.69,9.51,21.0,138.8
小米-安卓(320011),3983,2963,35.96,32.5,3.46,9.6,102.5
OPPO-安卓(320014),3380,2863,37.13,34.03,3.1,8.3,88.8
游卡-鸿蒙(710001),1477,1113,29.2,23.14,6.06,20.8,67.4
游卡-PC(110001),1341,926,31.08,25.33,5.75,18.5,53.2
好游快爆-安卓(官方)(310005),883,524,35.99,28.39,7.6,21.1,39.8
QQ大厅-PC(120123),3064,2707,20.12,18.71,1.41,7.0,38.2
华为-安卓(320007),2004,1529,36.76,34.41,2.35,6.4,35.9
B站-安卓(320120),467,320,47.27,36.24,11.03,23.3,35.3
抖音-安卓(官方)(310023),1184,523,38.18,32.42,5.76,15.1,30.1
应用宝-安卓(320017),311,251,34.76,23.48,11.28,32.5,28.3
Wegame-iOS(420108),894,661,35.73,31.99,3.74,10.5,24.7
4399-PC(120118),622,433,35.28,30.04,5.24,14.9,22.7
荣耀-安卓(320173),989,822,34.15,31.52,2.63,7.7,21.6
2144-Web(220016),184,141,32.68,22.15,10.53,32.2,14.8
飞火游戏-PC(120115),676,871,10.54,9.03,1.51,14.3,13.2
飞火游戏-Web(220005),122,124,21.62,12.32,9.3,43.0,11.5
7k7k-H5(520122),158,159,32.03,25.22,6.81,21.3,10.8
360-PC(120122),60,53,41.77,21.38,20.39,48.8,10.8
快手-安卓(320203),119,81,38.77,28.19,10.58,27.3,8.6
YY-Web(220006),11,24,37.5,6.67,30.83,82.2,7.4
MUMU模拟器-安卓(320118),50,22,47.68,24.17,23.51,49.3,5.2
360-Web(220015),98,90,30.01,24.72,5.29,17.6,4.8
B站-PC(120174),71,35,39.53,26.12,13.41,33.9,4.7
飞火游戏-安卓(320092),67,36,4.4,0.0,4.4,100.0,1.6
顺网-安卓(320170),5,5,41.66,16.67,24.99,60.0,1.2
虎牙游戏-安卓(320204),8,4,41.67,16.67,25.0,60.0,1.0
快玩游戏-PC(120114),1,1,100.0,0.0,100.0,100.0,1.0
顺网-H5(520063),3,2,33.33,0.0,33.33,100.0,0.7
百度-Web(220013),70,31,24.32,22.22,2.1,8.6,0.7
百度手机助手-安卓(320042),2,1,50.0,0.0,50.0,100.0,0.5
顺网-Web(220003),4,6,25.0,20.0,5.0,20.0,0.3
微信-H5(520214),76,100,13.06,12.83,0.23,1.8,0.2
紫霞-Web(220002),1,1,0.0,0.0,0.0,,0.0
快玩游戏-Web(220004),2,5,0.0,0.0,0.0,,0.0
顺网-PC(120112),17,20,7.14,8.33,-1.19,-16.7,-0.2
联想-PC(120119),312,247,29.37,29.52,-0.15,-0.5,-0.4
7k7k-Web(220014),3,1,0.0,100.0,-100.0,,-1.0
易乐玩-PC(120130),132,133,5.78,6.76,-0.98,-17.0,-1.3
