v21中获取途径为'纳贤'的武将共 118 个

====================================================================================================
序号   | 武将名称         | v21档位  | v21详细      | v21价格      | 实际获取途径
====================================================================================================
1    | SP甄姬         | 史诗     | 纳贤         | 1,000      | 获取途径:1001 获取价值:1200
2    | SP祝融         | 史诗     | 纳贤         | 2,000      | 获取途径:1001 获取价值:1000
3    | 乐周妃          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
4    | 乐周瑜          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
5    | 乐大乔          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
6    | 乐小乔          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
7    | 乐祢衡          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
8    | 乐綝           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1000
9    | 乐蔡文姬         | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
10   | 乐蔡邕          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
11   | 乐诸葛果         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
12   | 乐貂蝉          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
13   | 乐邹氏          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
14   | 侯昭宁          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
15   | 公孙修          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
16   | 凌操           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
17   | 凌烈           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
18   | 刘懿君          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
19   | 刘理           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
20   | 卞玥           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
21   | 吉邈吉穆         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
22   | 向朗           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
23   | 吴普           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
24   | 吴质           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
25   | 周宣           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
26   | 夏侯徽          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
27   | 孙瑜           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
28   | 孙霸           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
29   | 孟优           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
30   | 崔令仪          | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
31   | 庞宏           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
32   | 庞山民          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
33   | 张世平          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
34   | 张曼成          | 史诗     | 纳贤         | 100,000    | N/A
35   | 张楚           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
36   | 徐妏           | 史诗     | 纳贤         | 120,000    | 获取途径:1001 获取价值:1200
37   | 徐馨           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000
38   | 文鸳           | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1200
39   | 星丁奉          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
40   | 星太史慈         | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
41   | 星孙坚          | 史诗     | 纳贤         | 100,000    | 获取途径:1001 获取价值:1000;获取途径:1005 获取价值:999
