渠道,注册_W1,注册_W2,次留_W1,次留_W2,次留降幅,3留_W1,3留_W2,3留降幅,7留_W1,7留_W2,7留降幅,综合降幅,影响度
游卡-安卓(310003),14057,9783,37.0,30.4,6.6,30.1,23.2,6.9,18.0,15.4,2.7,5.41,529.0
4399-Web(220001),14861,13030,23.5,19.2,4.3,18.2,15.1,3.1,12.0,9.3,2.7,3.35,436.0
Wegame-PC(120110),13692,12220,20.3,16.8,3.5,16.5,12.8,3.7,10.6,9.1,1.5,2.9,354.0
游卡-Web(210002),6031,4481,27.7,19.8,7.8,23.4,15.7,7.6,14.8,10.8,4.0,6.48,290.0
TapTap-安卓(官方)(310004),5487,3467,37.9,29.7,8.2,31.5,21.6,9.9,18.4,13.4,5.0,7.7,267.0
游卡-iOS(410004),7885,6185,34.3,30.1,4.2,27.3,23.2,4.2,17.2,14.0,3.2,3.87,239.0
4399-安卓(320031),5032,3148,40.6,34.0,6.6,34.1,27.3,6.8,20.2,16.6,3.7,5.69,179.0
VIVO-安卓(320015),5523,4185,38.7,33.9,4.9,32.2,26.4,5.7,18.9,16.7,2.2,4.26,178.0
Steam-PC(120113),6197,5254,21.9,19.0,3.0,16.9,12.8,4.1,10.1,8.7,1.4,2.85,150.0
Wegame-安卓(320107),2432,1459,45.2,35.7,9.5,37.1,28.1,8.9,25.0,16.1,8.8,9.08,133.0
小米-安卓(320011),3983,2963,36.0,32.5,3.5,29.2,24.6,4.6,18.9,17.0,1.8,3.29,97.0
OPPO-安卓(320014),3380,2863,37.1,34.0,3.1,28.2,24.6,3.7,16.9,15.2,1.8,2.85,82.0
游卡-鸿蒙(710001),1477,1113,29.2,23.1,6.1,24.4,18.7,5.8,13.6,9.2,4.3,5.38,60.0
华为-安卓(320007),2004,1529,36.8,34.4,2.3,28.9,25.9,3.0,16.6,15.1,1.5,2.27,35.0
好游快爆-安卓(官方)(310005),883,524,36.0,28.4,7.6,30.2,17.5,12.7,15.9,16.8,-0.9,6.45,34.0
